"id","lastyearend","taxon.name","latitude","longitude","uri","Evidence_of_Presence","Life_Stage","Gall_phenophase","phenostage","doy","total32","yr1AGDD32","total50","yr1AGDD50","obsdate","lastyear50","lastyear32","Gall_phenophaseyr2","phenostage2","percent32","currentyearend","currentyear32","currentyear50","percent50","wrapdoy"
3989195,"2015-12-31","Eurosta solidaginis",35.5756216667,-82.4964183333,"http://www.inaturalist.org/observations/3989195","Gall","","developing","developing",176,3702.02270508,3702.02270508,1365.05578613,1365.05578613,"2016-06-24",NA,NA,"developing","developing",0.388182274510092,"2016-12-31",9536.81542969,4141.87841797,0.329574084117862,176
4017371,"2015-12-31","Eurosta solidaginis",46.061999,-89.921701,"http://www.inaturalist.org/observations/4017371","Gall","","developing","developing",241,4071.71630859,4071.71630859,1617.93725586,1617.93725586,"2016-08-28",NA,NA,"developing","developing",0.714245151727535,"2016-12-31",5700.7265625,2020.91174316,0.80059768138618,241
4050562,"2015-12-31","Eurosta solidaginis",44.7673477,-71.7025262,"http://www.inaturalist.org/observations/4050562","Gall","","developing","developing",248,3975.05493164,3975.05493164,1477.98779297,1477.98779297,"2016-09-04",NA,NA,"developing","developing",0.766209514859536,"2016-12-31",5187.94775391,1738.31262207,0.850242801096386,248
4056865,"2015-12-31","Eurosta solidaginis",40.1725777778,-75.3035722222,"http://www.inaturalist.org/observations/4056865","Gall","","dormfall","dormfall",247,6237.58203125,6237.58203125,2935.21386719,2935.21386719,"2016-09-03",NA,NA,"dormant","dormant",0.727017474846979,"2016-12-31",8579.68652344,3719.08569336,0.789229963813549,247
4066936,"2015-12-31","Eurosta solidaginis",41.06633892,-81.60738707,"http://www.inaturalist.org/observations/4066936","Gall","","dormfall","dormfall",252,5896.03222656,5896.03222656,2727.04321289,2727.04321289,"2016-09-08",NA,NA,"dormant","dormant",0.753716250883366,"2016-12-31",7822.61523438,3358.07763672,0.812084623378046,252
4069620,"2015-12-31","Eurosta solidaginis",42.7898527778,-77.8229666667,"http://www.inaturalist.org/observations/4069620","Gall","","developing","developing",252,5479.72949219,5479.72949219,2464.81958008,2464.81958008,"2016-09-08",NA,NA,"developing","developing",0.746840688583607,"2016-12-31",7337.21337891,3020.04663086,0.816152821911266,252
4069957,"2015-12-31","Eurosta solidaginis",42.789346,-77.822784,"http://www.inaturalist.org/observations/4069957","Gall","","developing","developing",246,5257.03320312,5257.03320312,2350.12353516,2350.12353516,"2016-09-02",NA,NA,"developing","developing",0.71648907175451,"2016-12-31",7337.21337891,3020.04663086,0.77817458549995,246
4078314,"2015-12-31","Eurosta solidaginis",40.9795172,-81.3060352,"http://www.inaturalist.org/observations/4078314","Gall","","developing","developing",254,5941.83300781,5941.83300781,2732.02905273,2732.02905273,"2016-09-10",NA,NA,"developing","developing",0.765498164301224,"2016-12-31",7762.04736328,3297.38208008,0.828544883904906,254
4079661,"2015-12-31","Eurosta solidaginis",42.0585713,-84.3292833,"http://www.inaturalist.org/observations/4079661","Gall","","developing","developing",249,5382.57324219,5382.57324219,2371.66088867,2371.66088867,"2016-09-05",NA,NA,"developing","developing",0.735260748363922,"2016-12-31",7320.63183594,2990.45532227,0.79307685054118,249
4127377,"2015-12-31","Eurosta solidaginis",41.170514,-81.54808,"http://www.inaturalist.org/observations/4127377","Gall","","dormfall","dormfall",260,6355.00439453,6355.00439453,3004.54956055,3004.54956055,"2016-09-16",NA,NA,"dormant","dormant",0.790166792259438,"2016-12-31",8042.61132812,3513.32836914,0.855186092749269,260
4182203,"2015-12-31","Eurosta solidaginis",44.8824108,-86.0423027,"http://www.inaturalist.org/observations/4182203","Gall","","developing","developing",267,5201.95117188,5201.95117188,2186.98095703,2186.98095703,"2016-09-23",NA,NA,"developing","developing",0.798051224937052,"2016-12-31",6518.31738281,2449.6184082,0.89278434131176,267
4197166,"2015-12-31","Eurosta solidaginis",45.24523,-95.04077,"http://www.inaturalist.org/observations/4197166","Gall","","dormfall","dormfall",268,5608.24902344,5608.24902344,2430.56445312,2430.56445312,"2016-09-24",NA,NA,"dormant","dormant",0.84951089693591,"2016-12-31",6601.73876953,2582.62841797,0.941120463249016,268
4228431,"2015-12-31","Eurosta solidaginis",43.918272,-69.260134,"http://www.inaturalist.org/observations/4228431","Gall","","developing","developing",234,3450.13037109,3450.13037109,924.07409668,924.07409668,"2016-08-21",NA,NA,"developing","developing",0.602443343382795,"2016-12-31",5726.89599609,1507.91247559,0.612816799143755,234
4230526,"2015-12-31","Eurosta solidaginis",44.4154582032,-72.9989917048,"http://www.inaturalist.org/observations/4230526","Gall","","dormfall","dormfall",273,5656.90234375,5656.90234375,2438.45825195,2438.45825195,"2016-09-29",NA,NA,"dormant","dormant",0.871576200407442,"2016-12-31",6490.42773438,2580.13623047,0.945088954278127,273
4369064,"2015-12-31","Eurosta solidaginis",41.3810216667,-81.868195,"http://www.inaturalist.org/observations/4369064","Gall","","dormfall","dormfall",290,7360.34228516,7360.34228516,3467.37329102,3467.37329102,"2016-10-16",NA,NA,"dormant","dormant",0.893732551768682,"2016-12-31",8235.50878906,3641.13623047,0.952277825257977,290
4371260,"2015-12-31","Eurosta solidaginis",44.3515787181,-73.0066455174,"http://www.inaturalist.org/observations/4371260","Gall","","dormfall","dormfall",288,5694.78369141,5694.78369141,2300.43481445,2300.43481445,"2016-10-14",NA,NA,"dormant","dormant",0.923226990621979,"2016-12-31",6168.34619141,2353.43579102,0.977479319056744,288
4437338,"2015-12-31","Eurosta solidaginis",47.38278,-91.1925483333,"http://www.inaturalist.org/observations/4437338","Gall","","dormfall","dormfall",299,5038.703125,5038.703125,1758.58911133,1758.58911133,"2016-10-25",NA,NA,"dormant","dormant",0.93690800123884,"2016-12-31",5378.01269531,1765.80700684,0.995912409746908,299
4482381,"2015-12-31","Eurosta solidaginis",43.3498144057,-73.0557960738,"http://www.inaturalist.org/observations/4482381","Gall","","dormfall","dormfall",307,5567.00097656,5567.00097656,2050.33325195,2050.33325195,"2016-11-02",NA,NA,"dormant","dormant",0.967406384793772,"2016-12-31",5754.56298828,2053.4921875,0.998461676372947,307
4535007,"2015-12-31","Eurosta solidaginis",35.0306638889,-85.5810611111,"http://www.inaturalist.org/observations/4535007","Gall","","developing","developing",198,5452.73583984,5452.73583984,2482.63085938,2482.63085938,"2016-07-16",NA,NA,"developing","developing",0.485281805545314,"2016-12-31",11236.2255859,5479.73779297,0.453056506200897,198
4585123,"2015-12-31","Eurosta solidaginis",42.4677323754,-83.995834887,"http://www.inaturalist.org/observations/4585123","Gall","","dormfall","dormfall",321,7103.50488281,7103.50488281,2987.31420898,2987.31420898,"2016-11-16",NA,NA,"dormant","dormant",0.980468377218248,"2016-12-31",7245.01171875,2992.66918945,0.998210634008972,321
4761974,"2015-12-31","Eurosta solidaginis",40.6241810206,-74.575881958,"http://www.inaturalist.org/observations/4761974","Gall","","dormfall","dormfall",338,8117.01367188,8117.01367188,3438.74389648,3438.74389648,"2016-12-03",NA,NA,"dormant","dormant",0.989119570719536,"2016-12-31",8206.30175781,3438.74389648,1,338
5123755,"2015-12-31","Eurosta solidaginis",40.652057346,-74.5462703705,"https://www.inaturalist.org/observations/5123755","Gall","","developing","developing",168,2602.28564453,2602.28564453,769.174926758,769.174926758,"2016-06-16",NA,NA,"developing","developing",0.318315653546856,"2016-12-31",8175.17333984,3412.71728516,0.225384894934811,168
6141066,"2016-12-31","Eurosta solidaginis",30.54124581,-87.89038369,"https://www.inaturalist.org/observations/6141066","Gall","","developing","developing",128,3836.85131836,3836.85131836,1614.92346191,1614.92346191,"2017-05-08",6981.49169922,13378.9433594,"developing","developing",0.294401583965482,"2017-12-31",13032.7128906,6649.88232422,0.24284993074662,128
6772386,"2016-12-31","Eurosta solidaginis",32.570012289,-80.257452428,"https://www.inaturalist.org/observations/6772386","Gall","","developing","developing",174,5750.37792969,5750.37792969,2713.75952148,2713.75952148,"2017-06-23",6673.703125,12995.1230469,"developing","developing",0.43687562164186,"2017-12-31",13162.5058594,6777.77099609,0.400391149692949,174
6784462,"2016-12-31","Eurosta solidaginis",43.9210166667,-89.9010866667,"https://www.inaturalist.org/observations/6784462","Gall","","developing","developing",174,2372.56982422,2372.56982422,733.940307617,733.940307617,"2017-06-23",2748.71582031,6849.31835938,"developing","developing",0.360125832217613,"2017-12-31",6588.16894531,2570.11816406,0.285566756377302,174
6980011,"2016-12-31","Eurosta solidaginis",39.9880561829,-82.6986083984,"https://www.inaturalist.org/observations/6980011","Gall","","developing","developing",190,3864.65258789,3864.65258789,1452.36486816,1452.36486816,"2017-07-09",3682.65283203,8372.92480469,"developing","developing",0.480547261554831,"2017-12-31",8042.19042969,3287.93115234,0.441726058383662,190
7014443,"2016-12-31","Eurosta solidaginis",41.5597374994,-81.596952921,"https://www.inaturalist.org/observations/7014443","Gall","","developing","developing",192,3704.95654297,3704.95654297,1386.93505859,1386.93505859,"2017-07-11",3599.4855957,8262.4765625,"developing","developing",0.458908499787023,"2017-12-31",8073.41015625,3365.69140625,0.41208028044832,192
7042171,"2016-12-31","Eurosta solidaginis",40.653522485,-74.5295763016,"https://www.inaturalist.org/observations/7042171","Gall","","developing","developing",190,3610.421875,3610.421875,1314.68273926,1314.68273926,"2017-07-09",3450.28320312,8232.77929688,"developing","developing",0.448753135111251,"2017-12-31",8045.45214844,3321.45629883,0.395815154853341,190
7088309,"2016-12-31","Eurosta solidaginis",42.4042188842,-85.4019369465,"https://www.inaturalist.org/observations/7088309","Gall","","developing","developing",198,3433.30957031,3433.30957031,1229.44372559,1229.44372559,"2017-07-17",2930.46166992,7228.35595703,"developing","developing",0.494244339284556,"2017-12-31",6946.58349609,2652.11694336,0.463570706664391,198
7110981,"2016-12-31","Eurosta solidaginis",41.9124317123,-73.6698962097,"https://www.inaturalist.org/observations/7110981","Gall","","developing","developing",197,3359.31176758,3359.31176758,1206.10693359,1206.10693359,"2017-07-16",3055.84960938,7466.23486328,"developing","developing",0.475170591525744,"2017-12-31",7069.69628906,2753.11547852,0.438088028998468,197
7123368,"2016-12-31","Eurosta solidaginis",43.7386583333,-72.5232,"https://www.inaturalist.org/observations/7123368","Gall","","developing","developing",200,2681.44995117,2681.44995117,847.475158691,847.475158691,"2017-07-19",1963.43823242,5645.74267578,"developing","developing",0.469785559123266,"2017-12-31",5707.81689453,1942.4498291,0.436291916524641,200
7147521,"2016-12-31","Eurosta solidaginis",41.2465693429,-81.6821355746,"https://www.inaturalist.org/observations/7147521","Gall","","developing","developing",202,4074.40527344,4074.40527344,1592.59375,1592.59375,"2017-07-21",3390.77392578,7883.21582031,"developing","developing",0.525421352073752,"2017-12-31",7754.54833984,3163.56079102,0.503418096001409,202
7159846,"2016-12-31","Eurosta solidaginis",45.0141452998,-84.6637216956,"https://www.inaturalist.org/observations/7159846","Gall","","developing","developing",203,2781.30444336,2781.30444336,933.434082031,933.434082031,"2017-07-22",2254.9934082,6022.61816406,"developing","developing",0.498492474845492,"2017-12-31",5579.43115234,1947.74169922,0.479239152914787,203
7160491,"2016-12-31","Eurosta solidaginis",45.0152264815,-84.662840087,"https://www.inaturalist.org/observations/7160491","Gall","","developing","developing",203,2781.30444336,2781.30444336,933.434082031,933.434082031,"2017-07-22",2254.9934082,6022.61816406,"developing","developing",0.498492474845492,"2017-12-31",5579.43115234,1947.74169922,0.479239152914787,203
7166826,"2016-12-31","Eurosta solidaginis",42.351059334,-76.6792487901,"https://www.inaturalist.org/observations/7166826","Gall","","developing","developing",203,3184.27880859,3184.27880859,1071.35864258,1071.35864258,"2017-07-22",2593.4375,6694.63867188,"developing","developing",0.511182734456472,"2017-12-31",6229.23779297,2192.40625,0.488667938517325,203
7171726,"2016-12-31","Eurosta solidaginis",42.9774775263,-88.5045951326,"https://www.inaturalist.org/observations/7171726","Gall","","developing","developing",204,3548.43798828,3548.43798828,1323.47631836,1323.47631836,"2017-07-23",3072.65136719,7300.54003906,"developing","developing",0.527622874574497,"2017-12-31",6725.33007812,2612.24853516,0.506642572690327,204
7180425,"2016-12-31","Eurosta solidaginis",42.4078,-87.8122944444,"https://www.inaturalist.org/observations/7180425","Gall","","developing","developing",196,3230.09765625,3230.09765625,1130.35424805,1130.35424805,"2017-07-15",3070.42797852,7363.70800781,"developing","developing",0.466339312810767,"2017-12-31",6926.49658203,2684.71582031,0.421033108792677,196
7182375,"2016-12-31","Eurosta solidaginis",44.36557,-72.5419583333,"https://www.inaturalist.org/observations/7182375","Gall","","developing","developing",184,2178.13378906,2178.13378906,630.539367676,630.539367676,"2017-07-03",2047.69567871,5687.98095703,"developing","developing",0.370457342060021,"2017-12-31",5879.58056641,2101.78662109,0.300001608797471,184
7235562,"2016-12-31","Eurosta solidaginis",44.0827267644,-70.2075852455,"https://www.inaturalist.org/observations/7235562","Gall","","developing","developing",191,2531.54541016,2531.54541016,816.830078125,816.830078125,"2017-07-10",2325.91235352,6236.9453125,"developing","developing",0.40975023800562,"2017-12-31",6178.26464844,2318.49707031,0.35231016186524,191
7245780,"2016-12-31","Eurosta solidaginis",45.9880833333,-86.1059278333,"https://www.inaturalist.org/observations/7245780","Gall","","developing","developing",209,2741.41674805,2741.41674805,836.32434082,836.32434082,"2017-07-28",1907.44006348,5616.96337891,"developing","developing",0.51806063327328,"2017-12-31",5291.69091797,1694.20361328,0.493638624227029,209
7275716,"2016-12-31","Eurosta solidaginis",39.8867293541,-83.2283859049,"https://www.inaturalist.org/observations/7275716","Gall","","developing","developing",211,4868.47705078,4868.47705078,2046.90466309,2046.90466309,"2017-07-30",3813.4152832,8542.01464844,"developing","developing",0.586861170287242,"2017-12-31",8295.79003906,3479.11816406,0.588340081183486,211
7282331,"2016-12-31","Eurosta solidaginis",42.4626947729,-76.4584064453,"https://www.inaturalist.org/observations/7282331","Gall","","developing","developing",209,3915.61108398,3915.61108398,1522.73571777,1522.73571777,"2017-07-28",2943.00683594,7293.01123047,"developing","developing",0.545567149109345,"2017-12-31",7177.13867188,2819.73364258,0.540028212160042,209
7292129,"2016-12-31","Eurosta solidaginis",41.676716,-87.86989,"https://www.inaturalist.org/observations/7292129","Gall","","developing","developing",211,4376.40087891,4376.40087891,1800.54797363,1800.54797363,"2017-07-30",3616.00048828,8126.70654297,"developing","developing",0.566841291921969,"2017-12-31",7720.68115234,3237.61279297,0.556134438787623,211
7322457,"2016-12-31","Eurosta solidaginis",45.56675,-84.5902033333,"https://www.inaturalist.org/observations/7322457","Gall","","developing","developing",214,3122.53930664,3122.53930664,1090.23217773,1090.23217773,"2017-08-02",2208.71630859,5974.94384766,"developing","developing",0.556572482764654,"2017-12-31",5610.30126953,1945.47436523,0.560394008379087,214
7338932,"2016-12-31","Eurosta solidaginis",40.6962578192,-74.5223236084,"https://www.inaturalist.org/observations/7338932","Gall","","developing","developing",210,4416.06396484,4416.06396484,1777.37280273,1777.37280273,"2017-07-29",3390.08935547,8144.67285156,"developing","developing",0.553196266858548,"2017-12-31",7982.81591797,3281.93847656,0.541561889543089,210
7361211,"2016-12-31","Eurosta solidaginis",44.5638366463,-72.5663151406,"https://www.inaturalist.org/observations/7361211","Gall","","developing","developing",217,3352.20117188,3352.20117188,1197.77319336,1197.77319336,"2017-08-05",2127.08544922,5812.88964844,"developing","developing",0.570757920875577,"2017-12-31",5873.24511719,2080.93261719,0.575594415439276,217
7408150,"2016-12-31","Eurosta solidaginis",40.9901756921,-75.1426005363,"https://www.inaturalist.org/observations/7408150","Gall","","developing","developing",213,4399.02685547,4399.02685547,1788.69519043,1788.69519043,"2017-08-01",3188.859375,7796.95898438,"developing","developing",0.575556708473975,"2017-12-31",7643.08154297,3094.49487305,0.578024932601366,213
7411145,"2016-12-31","Eurosta solidaginis",44.9442043462,-73.153077364,"https://www.inaturalist.org/observations/7411145","Gall","","developing","developing",207,3249.04223633,3249.04223633,1205.85510254,1205.85510254,"2017-07-26",2584.14111328,6478.1171875,"developing","developing",0.505564482196501,"2017-12-31",6426.56347656,2485.15893555,0.485222528543482,207
7434875,"2016-12-31","Eurosta solidaginis",42.4041813333,-85.4019377847,"https://www.inaturalist.org/observations/7434875","Gall","","developing","developing",222,4322.42822266,4322.42822266,1686.56237793,1686.56237793,"2017-08-10",2930.46166992,7228.35595703,"developing","developing",0.622238000175619,"2017-12-31",6946.58349609,2652.11694336,0.635930622196951,222
7477424,"2016-12-31","Eurosta solidaginis",41.6785980858,-83.6654896059,"https://www.inaturalist.org/observations/7477424","Gall","","developing","developing",225,4945.03857422,4945.03857422,2095.54907227,2095.54907227,"2017-08-13",3413.66113281,7892.34472656,"developing","developing",0.638076609095309,"2017-12-31",7749.91357422,3206.33642578,0.65356493954318,225
7477491,"2016-12-31","Eurosta solidaginis",41.6785189463,-83.6655866449,"https://www.inaturalist.org/observations/7477491","Gall","","developing","developing",225,4945.03857422,4945.03857422,2095.54907227,2095.54907227,"2017-08-13",3413.66113281,7892.34472656,"developing","developing",0.638076609095309,"2017-12-31",7749.91357422,3206.33642578,0.65356493954318,225
7489137,"2016-12-31","Eurosta solidaginis",36.2167156069,-84.0844170191,"https://www.inaturalist.org/observations/7489137","Gall","","developing","developing",224,6379.36669922,6379.36669922,2885.02929688,2885.02929688,"2017-08-12",4775.71240234,10167.0400391,"developing","developing",0.645668614635676,"2017-12-31",9880.24902344,4311.86865234,0.669090255176101,224
7503522,"2016-12-31","Eurosta solidaginis",46.86533,-96.464675,"https://www.inaturalist.org/observations/7503522","Gall","","developing","developing",218,3652.90869141,3652.90869141,1387.32202148,1387.32202148,"2017-08-06",2472.12719727,6372.68701172,"developing","developing",0.623836127251067,"2017-12-31",5855.55810547,2142.04345703,0.647662873937935,218
7709511,"2016-12-31","Eurosta solidaginis",44.7063433698,-73.1446882704,"https://www.inaturalist.org/observations/7709511","Gall","","developing","developing",234,4352.61474609,4352.61474609,1786.60693359,1786.60693359,"2017-08-22",2740.87695312,6647.03125,"developing","developing",0.666551887738778,"2017-12-31",6530.04638672,2554.74682617,0.699328369953757,234
7721533,"2016-12-31","Eurosta solidaginis",44.3737083333,-72.5510783333,"https://www.inaturalist.org/observations/7721533","Gall","","developing","developing",199,2761.5859375,2761.5859375,896.867004395,896.867004395,"2017-07-18",2134.31274414,5818.50634766,"developing","developing",0.466334527507367,"2017-12-31",5921.89892578,2088.90625,0.429347657126786,199
7728314,"2016-12-31","Eurosta solidaginis",40.8935324243,-82.3174502236,"https://www.inaturalist.org/observations/7728314","Gall","","developing","developing",243,5648.10253906,5648.10253906,2375.13452148,2375.13452148,"2017-08-31",3357.48510742,7864.15039062,"developing","developing",0.733505204910987,"2017-12-31",7700.15332031,3073.17358398,0.77286051587233,243
7744317,"2016-12-31","Eurosta solidaginis",41.2835726123,-86.4756059246,"https://www.inaturalist.org/observations/7744317","Gall","","developing","developing",244,5639.61474609,5639.61474609,2409.68481445,2409.68481445,"2017-09-01",3446.58349609,8005.58740234,"developing","developing",0.727430071823431,"2017-12-31",7752.79296875,3170.12988281,0.760121794225686,244
7757220,"2016-12-31","Eurosta solidaginis",44.2951016667,-72.4436916667,"https://www.inaturalist.org/observations/7757220","Gall","","developing","developing",202,2865.04052734,2865.04052734,952.253295898,952.253295898,"2017-07-21",2102.65942383,5772.96777344,"developing","developing",0.488764079573421,"2017-12-31",5861.80664062,2043.96130371,0.465886166322994,202
7771099,"2016-12-31","Eurosta solidaginis",43.6342183333,-72.3313533333,"https://www.inaturalist.org/observations/7771099","Gall","","developing","developing",203,3089.03295898,3089.03295898,1099.67297363,1099.67297363,"2017-07-22",2406.90429688,6278.47851562,"developing","developing",0.499329382796259,"2017-12-31",6186.36328125,2278.86035156,0.48255391028117,203
7798136,"2016-12-31","Eurosta solidaginis",46.9114265079,-96.7575106212,"https://www.inaturalist.org/observations/7798136","Gall","","developing","developing",248,4697.765625,4697.765625,1901.50927734,1901.50927734,"2017-09-05",2544.6315918,6437.74169922,"developing","developing",0.792843609206951,"2017-12-31",5925.2109375,2212.46728516,0.85945192956943,248
7802674,"2016-12-31","Eurosta solidaginis",44.41512,-72.3398366667,"https://www.inaturalist.org/observations/7802674","Gall","","developing","developing",205,2805.04663086,2805.04663086,919.385070801,919.385070801,"2017-07-24",1947.42724609,5495.75585938,"developing","developing",0.502549869107943,"2017-12-31",5581.62841797,1883.58117676,0.488104830386158,205
7844611,"2016-12-31","Eurosta solidaginis",42.5350570819,-76.6420363449,"https://www.inaturalist.org/observations/7844611","Gall","","dormfall","dormfall",252,5113.78076172,5113.78076172,2019.74230957,2019.74230957,"2017-09-09",2918.59765625,7209.88916016,"dormant","dormant",0.753414673835303,"2017-12-31",6787.47167969,2571.15405273,0.785539204632829,252
7871037,"2016-12-31","Eurosta solidaginis",44.2546283333,-72.5798016667,"https://www.inaturalist.org/observations/7871037","Gall","","developing","developing",206,3059.26904297,3059.26904297,1060.65808105,1060.65808105,"2017-07-25",2241.31323242,5982.60449219,"developing","developing",0.509315307464354,"2017-12-31",6006.63085938,2156.23608398,0.491902574551219,206
7875761,"2016-12-31","Eurosta solidaginis",41.4340674039,-81.4162296709,"https://www.inaturalist.org/observations/7875761","Gall","","dormfall","dormfall",253,5806.92333984,5806.92333984,2428.86328125,2428.86328125,"2017-09-10",3327.90917969,7803.10351562,"dormant","dormant",0.763111049453266,"2017-12-31",7609.5390625,3055.20947266,0.794990753657007,253
7875764,"2016-12-31","Eurosta solidaginis",41.4336748794,-81.4169680328,"https://www.inaturalist.org/observations/7875764","Gall","","developing","developing",253,5806.92333984,5806.92333984,2428.86328125,2428.86328125,"2017-09-10",3327.90917969,7803.10351562,"developing","developing",0.763111049453266,"2017-12-31",7609.5390625,3055.20947266,0.794990753657007,253
7886207,"2016-12-31","Eurosta solidaginis",42.9634567582,-85.4926415618,"https://www.inaturalist.org/observations/7886207","Gall","","developing","developing",244,5091.91943359,5091.91943359,2106.79052734,2106.79052734,"2017-09-01",2960.57421875,7213.00292969,"developing","developing",0.730006609662656,"2017-12-31",6975.16894531,2748.75048828,0.766453898352302,244
7897513,"2016-12-31","Eurosta solidaginis",44.386785,-72.574405,"https://www.inaturalist.org/observations/7897513","Gall","","developing","developing",207,2952.33056641,2952.33056641,985.048950195,985.048950195,"2017-07-26",2113.81958008,5748.71972656,"developing","developing",0.508432940857162,"2017-12-31",5806.72558594,2033.43066406,0.484427115025513,207
7908234,"2016-12-31","Eurosta solidaginis",40.6522201408,-74.5460557938,"https://www.inaturalist.org/observations/7908234","Gall","","developing","developing",242,5693.54150391,5693.54150391,2467.82543945,2467.82543945,"2017-08-30",3412.71728516,8175.17333984,"developing","developing",0.708630189342595,"2017-12-31",8034.57373047,3325.61523438,0.742065833093912,242
7910965,"2016-12-31","Eurosta solidaginis",43.5247616667,-72.4039466667,"https://www.inaturalist.org/observations/7910965","Gall","","developing","developing",256,4810.73291016,4810.73291016,1851.87414551,1851.87414551,"2017-09-13",2454.80175781,6352.49658203,"developing","developing",0.767005362369133,"2017-12-31",6272.09814453,2341.06005859,0.791040852931115,256
7925388,"2016-12-31","Eurosta solidaginis",41.257479,-88.194726,"https://www.inaturalist.org/observations/7925388","Gall","","developing","developing",257,6134.02880859,6134.02880859,2637.29589844,2637.29589844,"2017-09-14",3678.73876953,8311.16308594,"developing","developing",0.778654071995621,"2017-12-31",7877.73291016,3281.49682617,0.803686865520489,257
7935509,"2016-12-31","Eurosta solidaginis",47.3842216667,-91.207185,"https://www.inaturalist.org/observations/7935509","Gall","","developing","developing",258,4033.43798828,4033.43798828,1333.26757812,1333.26757812,"2017-09-15",1765.80700684,5378.01269531,"developing","developing",0.819236557641444,"2017-12-31",4923.41064453,1511.18835449,0.882264328042652,258
7943559,"2016-12-31","Eurosta solidaginis",43.52452579,-72.40198663,"https://www.inaturalist.org/observations/7943559","Gall","","dormfall","dormfall",259,4919.34472656,4919.34472656,1906.48608398,1906.48608398,"2017-09-16",2454.80175781,6352.49658203,"dormant","dormant",0.784322026409973,"2017-12-31",6272.09814453,2341.06005859,0.814368720266092,259
7953333,"2016-12-31","Eurosta solidaginis",41.525565,-87.92253,"https://www.inaturalist.org/observations/7953333","Gall","","developing","developing",259,6017.74951172,6017.74951172,2563.22485352,2563.22485352,"2017-09-16",3516.80981445,8035.96386719,"developing","developing",0.788834394043597,"2017-12-31",7628.66015625,3138.86401367,0.816609079704299,259
